Timestamp,GSR Value (uS)
2025-05-23 11:14:48.889,-0.24
2025-05-23 11:14:49.069,-0.24
2025-05-23 11:14:49.189,-0.24
2025-05-23 11:14:49.368,-0.24
2025-05-23 11:14:49.549,-0.24
2025-05-23 11:14:49.669,-0.24
2025-05-23 11:14:49.848,-0.24
2025-05-23 11:14:49.970,-0.24
2025-05-23 11:14:50.148,-0.24
2025-05-23 11:14:50.268,-0.24
2025-05-23 11:14:50.449,-0.24
2025-05-23 11:14:50.568,-0.24
2025-05-23 11:14:50.751,-0.24
2025-05-23 11:14:50.868,-0.24
2025-05-23 11:14:51.049,-0.24
2025-05-23 11:14:51.229,-0.24
2025-05-23 11:14:51.348,-0.24
2025-05-23 11:14:51.529,-0.24
2025-05-23 11:14:51.648,-0.24
2025-05-23 11:14:51.828,-0.24
2025-05-23 11:14:51.949,-0.24
2025-05-23 11:14:52.129,-0.24
2025-05-23 11:14:52.249,-0.24
2025-05-23 11:14:52.428,-0.24
2025-05-23 11:14:52.609,-0.24
2025-05-23 11:14:52.729,-0.24
2025-05-23 11:14:52.908,-0.24
2025-05-23 11:14:53.029,-0.24
2025-05-23 11:14:53.210,-0.24
2025-05-23 11:14:53.328,-0.24
2025-05-23 11:14:53.509,-0.24
2025-05-23 11:14:53.689,-0.24
2025-05-23 11:14:53.809,-0.24
2025-05-23 11:14:53.989,-0.24
2025-05-23 11:14:54.109,-0.24
2025-05-23 11:14:54.289,-0.29
2025-05-23 11:14:54.408,-0.24
2025-05-23 11:14:54.588,-0.24
2025-05-23 11:14:54.770,-0.24
2025-05-23 11:14:54.888,-0.24
2025-05-23 11:14:55.069,-0.24
2025-05-23 11:14:55.190,-0.24
2025-05-23 11:14:55.369,-0.24
2025-05-23 11:14:55.488,-0.24
2025-05-23 11:14:55.669,-0.24
2025-05-23 11:14:55.789,-0.24
2025-05-23 11:14:55.968,-0.24
2025-05-23 11:14:56.149,-0.24
2025-05-23 11:14:56.269,-0.24
2025-05-23 11:14:56.448,-0.24
2025-05-23 11:14:56.569,-0.24
2025-05-23 11:14:56.749,-0.24
2025-05-23 11:14:56.869,-0.24
2025-05-23 11:14:57.048,-0.24
2025-05-23 11:14:57.170,-0.24
2025-05-23 11:14:57.349,-0.24
2025-05-23 11:14:57.468,-0.24
2025-05-23 11:14:57.649,-0.24
2025-05-23 11:14:57.829,-0.24
2025-05-23 11:14:57.949,-0.24
2025-05-23 11:14:58.129,-0.24
2025-05-23 11:14:58.249,-0.29
2025-05-23 11:14:58.430,-0.24
2025-05-23 11:14:58.548,-0.24
2025-05-23 11:14:58.729,-0.24
2025-05-23 11:14:58.850,-0.24
2025-05-23 11:14:59.028,-0.24
2025-05-23 11:14:59.210,-0.24
2025-05-23 11:14:59.329,-0.24
2025-05-23 11:14:59.508,-0.24
2025-05-23 11:14:59.629,-0.24
2025-05-23 11:14:59.809,-0.24
2025-05-23 11:14:59.929,-0.24
2025-05-23 11:15:00.109,-0.24
2025-05-23 11:15:00.229,-0.24
2025-05-23 11:15:00.408,-0.24
2025-05-23 11:15:00.588,-0.24
2025-05-23 11:15:00.708,-0.24
2025-05-23 11:15:00.889,-0.24
2025-05-23 11:15:01.009,-0.24
2025-05-23 11:15:01.189,-0.24
2025-05-23 11:15:01.309,-0.24
2025-05-23 11:15:01.489,-0.24
2025-05-23 11:15:01.608,-0.24
2025-05-23 11:15:01.788,-0.24
2025-05-23 11:15:01.970,-0.24
